"T/degreeCelsius","P/kPa","dvapH/kJ kg-1","surface tension/mN m-1"
0.01,0.61165,2500.9,75.65
2,0.70599,2496.2,75.37
4,0.81355,2491.4,75.08
6,0.93536,2486.7,74.8
8,1.073,2481.9,74.51
10,1.2282,2477.2,74.22
12,1.4028,2472.5,73.93
14,1.599,2467.7,73.63
16,1.8188,2463,73.34
18,2.0647,2458.3,73.04
20,2.3393,2453.5,72.74
22,2.6453,2448.8,72.43
24,2.9858,2444,72.13
25,3.1699,2441.7,71.97
26,3.3639,2439.3,71.82
28,3.7831,2434.6,71.51
30,4.247,2429.8,71.19
32,4.7596,2425.1,70.88
34,5.3251,2420.3,70.56
36,5.9479,2415.5,70.24
38,6.6328,2410.8,69.92
40,7.3849,2406,69.6
42,8.2096,2401.2,69.27
44,9.1124,2396.4,68.94
46,10.099,2391.6,68.61
48,11.177,2386.8,68.28
50,12.352,2381.9,67.94
52,13.631,2377.1,67.61
54,15.022,2372.3,67.27
56,16.533,2367.4,66.93
58,18.171,2362.5,66.58
60,19.946,2357.7,66.24
62,21.867,2352.8,65.89
64,23.943,2347.8,65.54
66,26.183,2342.9,65.19
68,28.599,2338,64.84
70,31.201,2333,64.48
72,34,2328.1,64.12
74,37.009,2323.1,63.76
76,40.239,2318.1,63.4
78,43.703,2313,63.04
80,47.414,2308,62.67
82,51.387,2302.9,62.31
84,55.635,2297.9,61.94
86,60.173,2292.8,61.56
88,65.017,2287.6,61.19
90,70.182,2282.5,60.82
92,75.684,2277.3,60.44
94,81.541,2272.1,60.06
96,87.771,2266.9,59.68
98,94.39,2261.7,59.3
100,101.42,2256.4,58.91
102,108.87,2251.1,58.53
104,116.78,2245.8,58.14
106,125.15,2240.4,57.75
108,134.01,2235.1,57.36
110,143.38,2229.6,56.96
112,153.28,2224.2,56.57
114,163.74,2218.7,56.17
116,174.77,2213.2,55.77
118,186.41,2207.7,55.37
120,198.67,2202.1,54.97
122,211.59,2196.5,54.56
124,225.18,2190.9,54.16
126,239.47,2185.2,53.75
128,254.5,2179.5,53.34
130,270.28,2173.7,52.93
132,286.85,2167.9,52.52
134,304.23,2162.1,52.11
136,322.45,2156.2,51.69
138,341.54,2150.3,51.27
140,361.54,2144.3,50.86
142,382.47,2138.3,50.44
144,404.37,2132.2,50.01
146,427.26,2126.1,49.59
148,451.18,2119.9,49.17
150,476.16,2113.7,48.74
152,502.25,2107.5,48.31
154,529.46,2101.2,47.89
156,557.84,2094.8,47.46
158,587.42,2088.4,47.02
160,618.23,2082,46.59
162,650.33,2075.5,46.16
164,683.73,2068.9,45.72
166,718.48,2062.3,45.28
